"Resource Type","Item Code","Item Group","Item Desc","Unit","Inactive","Tax Rate","Lead Period","Status",
"","0005","","","",false,0.0,0.0,"Draft",
"Material","0004","Admin Items","Frieght","Lumpsum",false,18.0,0.0,"Approved",
"Material","AG0011","Aggregate","Black Soil","Brass",false,0.0,3.0,"Approved",
"Material","AG0008","Aggregate","Dust Powder","Ton",false,5.0,3.0,"Approved",
"Material","AG0006","Aggregate","GSB","Ton",false,5.0,3.0,"Approved",
"Material","AG0002","Aggregate","Yellow Soil","Brass",false,12.0,3.0,"Approved",
"Material","AG0009","Aggregate","Basalt/Black Trap","Ton",false,0.0,3.0,"Approved",
"Material","AG0015","Aggregate","SAND - 1 TRACTOR","TRIP",false,0.0,3.0,"Approved",
"Material","AG0010","Aggregate","Hardcore Metal","Ton",false,5.0,3.0,"Approved",
"Material","AG0013","Aggregate","Gravel","BRASS",false,18.0,10.0,"Approved",
"Material","AG0003","Aggregate","Gardan Soil","Brass",false,0.0,3.0,"Approved",
"Material","AG0016","Aggregate","KAPACHI - 1 TRACTOR","TRIP",false,0.0,3.0,"Approved",
"Material","AG0004","Aggregate","Black Sand","Brass",false,0.0,3.0,"Approved",
"Material","AG0017","Aggregate","GRAVEL /GRAVEL","Ton",false,5.0,3.0,"Approved",
"Material","AG0012","Aggregate","SLAG 4"" TO 5""","Ton",false,5.0,3.0,"Approved",
"Material","AG0001","Aggregate","Aggregate","Ton",false,5.0,3.0,"Approved",
"Material","AG0005","Aggregate","Rubble","Ton",false,5.0,3.0,"Approved",
"Material","AG0007","Aggregate","Grit","Ton",false,5.0,3.0,"Approved",
"Material","AG0014","Aggregate","GRIT - 1 TRACTOR","TRIP",false,0.0,3.0,"Approved",
"Service","AIW0011","Amenities & other Interior Work","Open To Sky Seating Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0003","Amenities & other Interior Work","Indoor Games work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0010","Amenities & other Interior Work","Yoga and Meditaion work","Lumpsum",false,0.0,0.0,"Approved",
"Service","AIW0006","Amenities & other Interior Work","Banquet Hall work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0014","Amenities & other Interior Work","Wooden Deck Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0007","Amenities & other Interior Work","Foyer Area work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0013","Amenities & other Interior Work","Temple Work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0004","Amenities & other Interior Work","Toddler Play work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0005","Amenities & other Interior Work","Social Club work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0002","Amenities & other Interior Work","Security Cabin work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0001","Amenities & other Interior Work","Gym work","Sq.Ft.",false,0.0,0.0,"Approved",
"Service","AIW0008","Amenities & other Interior Work","Pickup stand work","Lumpsum",false,0.0,0.0,"Approved",
"Service","AIW0009","Amenities & other Interior Work","Change Room and Toilet (Male and Female) work","Lumpsum",false,0.0,3.0,"Approved",
